province,lat,lon,temp_avg_C,temp_max_C,temp_min_C,precip_avg_mm,precip_max_mm,precip_min_mm,precip_sum_mm,period_start,period_end
黑龙江,47.862,127.761,12.65,26.0,-4.27,3.33,35.32,0.0,713.36,2025-04-01,2025-10-31
吉林,43.897,125.326,15.98,27.84,-1.89,2.96,59.27,0.0,633.45,2025-04-01,2025-10-31
辽宁,41.804,123.433,17.79,28.02,-0.7,3.6,44.33,0.0,770.69,2025-04-01,2025-10-31
内蒙古,44.091,113.886,14.61,27.92,-5.68,1.01,12.83,0.0,215.31,2025-04-01,2025-10-31
河北,38.043,114.469,22.82,31.99,5.0,3.32,37.87,0.0,710.48,2025-04-01,2025-10-31
山东,36.67,116.991,22.02,31.76,5.97,4.6,59.02,0.0,985.06,2025-04-01,2025-10-31
河南,33.882,113.614,24.34,35.38,7.42,4.33,70.71,0.0,925.87,2025-04-01,2025-10-31
山西,37.57,112.287,19.05,28.73,0.3,3.52,41.66,0.0,752.92,2025-04-01,2025-10-31
陕西,35.604,110.006,18.48,28.69,2.66,4.31,44.02,0.0,923.01,2025-04-01,2025-10-31
四川,30.651,104.076,24.6,33.15,11.0,4.67,41.52,0.0,999.08,2025-04-01,2025-10-31
云南,25.046,102.71,19.12,23.12,12.08,4.97,43.58,0.0,1063.27,2025-04-01,2025-10-31
贵州,26.6,106.713,20.16,25.31,8.3,5.64,53.47,0.0,1206.69,2025-04-01,2025-10-31
