date,open,high,low,close,volume,position,s,settlement
2016-05-09,463.5,467.0,454.75,458.0,0,0,0.0,0
2016-05-10,457.0,468.75,455.25,461.25,0,0,0.0,0
2016-05-11,461.25,464.75,456.75,458.75,0,0,0.0,0
2016-05-12,458.75,468.25,457.25,467.75,0,0,0.0,0
2016-05-13,466.75,477.5,464.75,474.5,0,0,0.0,0
2016-05-16,474.0,476.5,467.5,473.25,0,0,0.0,0
2016-05-17,473.25,484.5,473.0,482.0,0,0,0.0,0
2016-05-18,480.5,484.75,477.0,478.5,0,0,0.0,0
2016-05-19,478.25,479.5,462.5,467.75,0,0,0.0,0
2016-05-20,468.25,474.5,464.25,467.25,0,0,0.0,0
2016-05-23,466.5,469.0,461.0,463.0,0,0,0.0,0
2016-05-24,462.5,470.0,457.75,464.75,0,0,0.0,0
2016-05-25,463.75,469.0,463.0,466.0,0,0,0.0,0
2016-05-26,465.5,482.25,465.5,481.75,0,0,0.0,0
2016-05-27,481.5,484.75,478.5,480.75,0,0,0.0,0
2016-05-30,480.75,480.75,480.75,480.75,0,0,0.0,0
2016-05-31,481.0,483.75,463.5,466.0,0,0,0.0,0
2016-06-01,465.0,474.75,463.0,473.5,0,0,0.0,0
2016-06-02,473.75,487.0,472.75,483.0,0,0,0.0,0
2016-06-03,484.5,498.25,482.25,496.25,0,0,0.0,0
2016-06-06,496.0,514.75,496.0,507.0,0,0,0.0,0
2016-06-07,507.25,513.5,500.75,510.5,0,0,0.0,0
2016-06-08,507.25,524.0,506.0,517.5,0,0,0.0,0
2016-06-09,518.75,519.0,506.0,511.0,0,0,0.0,0
2016-06-10,509.0,512.5,494.25,495.5,0,0,0.0,0
2016-06-13,496.75,503.25,490.75,492.0,0,0,0.0,0
2016-06-14,491.5,493.5,481.25,486.75,0,0,0.0,0
2016-06-15,485.0,489.75,477.0,478.25,0,0,0.0,0
2016-06-16,487.5,491.5,483.25,486.25,0,0,0.0,0
2016-06-17,486.0,495.75,485.0,495.0,0,0,0.0,0
2016-06-20,491.75,493.75,486.5,488.25,0,0,0.0,0
2016-06-21,487.5,490.5,471.25,473.5,0,0,0.0,0
2016-06-22,474.5,478.25,471.5,472.5,0,0,0.0,0
2016-06-23,472.0,475.0,465.0,466.25,0,0,0.0,0
2016-06-24,466.25,466.25,453.25,465.25,0,0,0.0,0
2016-06-27,464.25,470.5,457.75,458.25,0,0,0.0,0
2016-06-28,458.0,467.5,456.25,457.25,0,0,0.0,0
2016-06-29,457.0,460.5,443.75,444.25,0,0,0.0,0
2016-06-30,446.0,453.5,437.5,445.25,0,0,0.0,0
2016-07-01,444.75,445.5,428.0,429.25,0,0,0.0,0
2016-07-04,429.25,429.25,429.25,429.25,0,0,0.0,0
2016-07-05,429.25,434.5,415.75,432.25,0,0,0.0,0
2016-07-06,432.0,434.0,421.0,428.5,0,0,0.0,0
2016-07-07,428.75,438.75,424.25,424.5,0,0,0.0,0
2016-07-08,425.0,439.5,423.5,436.0,0,0,0.0,0
2016-07-11,437.0,442.0,426.5,429.5,0,0,0.0,0
2016-07-12,430.25,439.5,423.75,436.25,0,0,0.0,0
2016-07-13,438.25,451.75,436.75,439.0,0,0,0.0,0
2016-07-14,438.5,447.75,431.0,435.0,0,0,0.0,0
2016-07-15,434.0,439.75,424.0,425.5,0,0,0.0,0
2016-07-18,425.0,431.75,420.25,428.5,0,0,0.0,0
2016-07-19,427.5,428.25,416.25,419.25,0,0,0.0,0
2016-07-20,418.75,423.75,406.5,413.0,0,0,0.0,0
2016-07-21,414.0,419.75,408.75,417.75,0,0,0.0,0
2016-07-22,417.25,427.0,407.0,425.75,0,0,0.0,0
2016-07-25,426.25,435.25,421.0,427.25,0,0,0.0,0
2016-07-26,426.25,429.25,414.0,416.25,0,0,0.0,0
2016-07-27,416.25,421.0,414.0,414.75,0,0,0.0,0
2016-07-28,414.75,420.0,408.25,411.75,0,0,0.0,0
2016-07-29,410.75,412.75,403.5,409.0,0,0,0.0,0
2016-08-01,407.5,415.5,404.75,405.25,0,0,0.0,0
2016-08-02,406.0,410.5,399.25,401.75,0,0,0.0,0
2016-08-03,402.0,415.0,401.0,410.5,0,0,0.0,0
2016-08-04,410.25,416.0,402.5,403.5,0,0,0.0,0
2016-08-05,404.25,418.5,403.25,416.5,0,0,0.0,0
2016-08-08,418.5,423.5,411.5,416.0,0,0,0.0,0
2016-08-09,416.0,419.25,411.5,416.5,0,0,0.0,0
2016-08-10,415.0,427.5,415.0,420.5,0,0,0.0,0
2016-08-11,419.25,424.0,413.5,415.75,0,0,0.0,0
2016-08-12,416.0,423.25,406.0,422.0,0,0,0.0,0
2016-08-15,420.5,430.0,417.25,421.0,0,0,0.0,0
2016-08-16,437.0,443.0,432.25,439.75,0,0,0.0,0
2016-08-17,438.75,443.75,435.75,441.25,0,0,0.0,0
2016-08-18,441.75,444.75,437.5,444.5,0,0,0.0,0
2016-08-19,443.0,449.25,439.5,444.75,0,0,0.0,0
2016-08-22,444.25,446.25,434.25,435.25,0,0,0.0,0
2016-08-23,434.25,435.0,427.0,427.75,0,0,0.0,0
2016-08-24,427.0,429.25,423.25,426.5,0,0,0.0,0
2016-08-25,426.5,429.75,423.0,423.75,0,0,0.0,0
2016-08-26,422.25,424.5,405.0,406.25,0,0,0.0,0
2016-08-29,407.25,407.75,395.25,396.5,0,0,0.0,0
2016-08-30,396.5,400.75,391.5,392.0,0,0,0.0,0
2016-08-31,393.25,395.75,386.75,391.0,0,0,0.0,0
2016-09-01,389.75,397.25,389.5,394.5,0,0,0.0,0
2016-09-02,393.5,401.5,393.0,399.25,0,0,0.0,0
2016-09-05,399.25,399.25,399.25,399.25,0,0,0.0,0
2016-09-06,398.75,402.75,394.75,398.0,0,0,0.0,0
2016-09-07,397.75,405.0,397.25,402.5,0,0,0.0,0
2016-09-08,402.25,406.75,398.25,405.5,0,0,0.0,0
2016-09-09,405.25,406.0,396.75,402.5,0,0,0.0,0
2016-09-12,402.5,410.0,400.0,409.5,0,0,0.0,0
2016-09-13,408.5,411.0,399.0,400.5,0,0,0.0,0
2016-09-14,400.25,404.25,395.0,403.0,0,0,0.0,0
2016-09-15,401.75,406.75,398.0,398.75,0,0,0.0,0
2016-09-16,399.0,404.75,393.75,403.5,0,0,0.0,0
2016-09-19,404.25,409.0,399.75,405.0,0,0,0.0,0
2016-09-20,403.0,410.0,401.5,406.0,0,0,0.0,0
2016-09-21,405.0,409.0,402.25,406.5,0,0,0.0,0
2016-09-22,405.5,411.75,404.25,404.75,0,0,0.0,0
2016-09-23,404.0,409.5,401.25,403.75,0,0,0.0,0
2016-09-26,402.0,407.0,395.25,396.0,0,0,0.0,0
2016-09-27,397.25,405.0,394.0,404.0,0,0,0.0,0
