date,open,high,low,close,volume,position,s,settlement
2016-05-16,389.75,394.25,386.25,393.5,0,0,0,0
2016-05-17,392.75,398.0,391.75,397.75,0,0,0,0
2016-05-18,397.0,400.5,394.0,397.75,0,0,0,0
2016-05-19,397.0,397.75,385.5,389.0,0,0,0,0
2016-05-20,390.25,396.75,389.0,394.75,0,0,0,0
2016-05-23,393.75,399.25,391.0,398.0,0,0,0,0
2016-05-24,397.5,403.25,394.5,396.5,0,0,0,0
2016-05-25,396.5,405.0,395.75,405.0,0,0,0,0
2016-05-26,403.75,409.25,400.0,408.75,0,0,0,0
2016-05-27,408.0,413.5,406.5,413.25,0,0,0,0
2016-05-30,413.25,413.25,413.25,413.25,0,0,0,0
2016-05-31,412.25,413.0,404.0,405.0,0,0,0,0
2016-06-01,404.5,414.0,401.0,413.75,0,0,0,0
2016-06-02,413.5,419.5,412.5,413.75,0,0,0,0
2016-06-03,413.5,419.25,410.5,419.0,0,0,0,0
2016-06-06,419.75,427.5,419.5,427.25,0,0,0,0
2016-06-07,425.75,428.0,422.5,427.5,0,0,0,0
2016-06-08,427.25,439.25,426.5,429.0,0,0,0,0
2016-06-09,429.75,430.0,423.25,427.25,0,0,0,0
2016-06-10,426.0,437.0,420.0,424.0,0,0,0,0
2016-06-13,428.5,438.0,428.0,430.25,0,0,0,0
2016-06-14,429.0,436.75,423.5,436.5,0,0,0,0
2016-06-15,435.5,439.0,428.5,428.75,0,0,0,0
2016-06-16,431.25,435.25,425.5,430.0,0,0,0,0
2016-06-17,429.0,443.5,428.25,443.0,0,0,0,0
2016-06-20,438.25,438.5,426.25,426.25,0,0,0,0
2016-06-21,426.25,428.0,401.75,403.0,0,0,0,0
2016-06-22,402.25,406.5,397.5,397.5,0,0,0,0
2016-06-23,397.25,398.0,389.5,392.5,0,0,0,0
2016-06-24,392.75,395.0,378.0,390.0,0,0,0,0
2016-06-27,389.0,396.75,387.5,389.75,0,0,0,0
2016-06-28,387.25,402.0,386.5,388.5,0,0,0,0
2016-06-29,389.0,390.75,377.25,377.75,0,0,0,0
2016-06-30,379.25,382.25,362.5,369.0,0,0,0,0
2016-07-01,367.25,368.75,358.75,360.25,0,0,0,0
2016-07-04,360.25,360.25,360.25,360.25,0,0,0,0
2016-07-05,360.25,360.25,341.0,350.0,0,0,0,0
2016-07-06,350.75,352.5,339.0,342.5,0,0,0,0
2016-07-07,343.25,353.75,340.5,341.0,0,0,0,0
2016-07-08,342.5,355.75,342.0,355.5,0,0,0,0
2016-07-11,359.75,360.5,344.0,349.0,0,0,0,0
2016-07-12,348.75,355.0,342.5,351.75,0,0,0,0
2016-07-13,353.5,367.5,352.0,362.75,0,0,0,0
2016-07-14,362.25,373.0,355.5,356.25,0,0,0,0
2016-07-15,356.75,361.0,343.0,352.25,0,0,0,0
2016-07-18,351.75,357.5,348.25,357.0,0,0,0,0
2016-07-19,356.25,356.25,341.5,343.5,0,0,0,0
2016-07-20,344.25,346.5,335.0,338.0,0,0,0,0
2016-07-21,338.0,341.75,332.75,333.25,0,0,0,0
2016-07-22,334.25,336.75,326.75,336.5,0,0,0,0
2016-07-25,335.0,338.25,330.25,335.0,0,0,0,0
2016-07-26,333.25,336.5,331.0,332.75,0,0,0,0
2016-07-27,332.25,338.0,331.75,335.5,0,0,0,0
2016-07-28,335.75,338.5,329.0,332.5,0,0,0,0
2016-07-29,331.25,335.0,328.75,333.5,0,0,0,0
2016-08-01,332.25,333.75,325.5,326.25,0,0,0,0
2016-08-02,325.25,327.5,319.5,324.5,0,0,0,0
2016-08-03,324.0,328.75,322.25,325.75,0,0,0,0
2016-08-04,324.75,326.75,320.5,320.5,0,0,0,0
2016-08-05,320.75,325.0,320.0,323.75,0,0,0,0
2016-08-08,325.0,328.0,322.5,325.75,0,0,0,0
2016-08-09,326.0,326.75,322.0,322.75,0,0,0,0
2016-08-10,322.0,325.5,321.25,322.5,0,0,0,0
2016-08-11,322.25,323.75,320.5,320.75,0,0,0,0
2016-08-12,320.5,323.0,312.0,323.0,0,0,0,0
2016-08-15,321.5,329.0,321.0,327.75,0,0,0,0
2016-08-16,337.25,339.25,334.25,337.75,0,0,0,0
2016-08-17,337.25,340.0,336.0,339.75,0,0,0,0
2016-08-18,339.5,343.0,336.25,343.0,0,0,0,0
2016-08-19,342.5,344.25,340.0,344.0,0,0,0,0
2016-08-22,343.5,344.0,340.0,343.25,0,0,0,0
2016-08-23,342.25,342.25,335.25,337.5,0,0,0,0
2016-08-24,337.0,339.5,334.5,336.5,0,0,0,0
2016-08-25,335.5,337.75,331.25,332.25,0,0,0,0
2016-08-26,331.75,334.0,324.5,325.25,0,0,0,0
2016-08-29,325.25,327.25,320.0,321.0,0,0,0,0
2016-08-30,320.75,322.0,315.5,315.75,0,0,0,0
2016-08-31,316.25,319.5,314.75,315.25,0,0,0,0
2016-09-01,315.5,325.0,315.0,323.5,0,0,0,0
2016-09-02,323.5,329.75,323.5,328.75,0,0,0,0
2016-09-05,328.75,328.75,328.75,328.75,0,0,0,0
2016-09-06,327.5,329.5,323.25,327.0,0,0,0,0
2016-09-07,327.25,334.0,326.25,333.5,0,0,0,0
2016-09-08,333.5,338.75,332.5,338.0,0,0,0,0
2016-09-09,338.0,342.0,334.5,340.0,0,0,0,0
2016-09-12,340.75,343.25,335.5,340.25,0,0,0,0
2016-09-13,339.25,341.5,329.5,330.25,0,0,0,0
2016-09-14,330.0,332.25,326.5,332.25,0,0,0,0
2016-09-15,331.75,334.75,327.5,329.25,0,0,0,0
2016-09-16,329.0,338.25,327.5,336.25,0,0,0,0
2016-09-19,337.25,340.0,332.25,337.25,0,0,0,0
2016-09-20,336.0,342.25,335.0,339.5,0,0,0,0
2016-09-21,339.0,341.0,338.0,339.0,0,0,0,0
2016-09-22,339.25,341.5,334.75,336.25,0,0,0,0
2016-09-23,336.0,338.5,333.75,335.25,0,0,0,0
2016-09-26,333.75,336.5,328.5,328.75,0,0,0,0
2016-09-27,329.25,332.5,327.25,332.0,0,0,0,0
2016-09-28,331.75,332.5,328.75,329.75,0,0,0,0
2016-09-29,329.75,333.5,328.0,329.25,0,0,0,0
2016-09-30,329.0,337.5,325.0,336.25,0,0,0,0
2016-10-03,336.25,347.75,335.25,346.0,0,0,0,0
2016-10-04,345.0,349.0,343.5,348.0,0,0,0,0
2016-10-05,348.0,349.25,345.25,347.5,0,0,0,0
2016-10-06,347.25,347.75,338.5,341.0,0,0,0,0
2016-10-07,340.75,344.75,339.5,339.75,0,0,0,0
2016-10-10,339.5,344.25,339.25,343.0,0,0,0,0
2016-10-11,342.75,347.0,341.0,346.25,0,0,0,0
2016-10-12,345.0,348.5,336.5,337.25,0,0,0,0
2016-10-13,337.5,349.75,337.25,349.75,0,0,0,0
2016-10-14,349.5,358.75,348.75,353.5,0,0,0,0
2016-10-17,353.25,357.75,350.25,354.5,0,0,0,0
2016-10-18,354.25,357.5,351.5,353.5,0,0,0,0
2016-10-19,353.75,358.0,351.0,358.0,0,0,0,0
2016-10-20,357.5,359.25,349.25,350.75,0,0,0,0
2016-10-21,351.0,354.25,350.5,352.25,0,0,0,0
2016-10-24,351.5,354.5,346.25,348.75,0,0,0,0
2016-10-25,348.0,352.25,347.25,349.75,0,0,0,0
2016-10-26,349.25,355.75,349.0,354.5,0,0,0,0
2016-10-27,353.75,358.5,352.25,357.75,0,0,0,0
2016-10-28,357.5,358.25,354.25,355.25,0,0,0,0
2016-10-31,355.0,358.0,352.25,354.5,0,0,0,0
2016-11-01,354.25,354.75,347.25,348.75,0,0,0,0
2016-11-02,349.0,350.5,344.25,346.75,0,0,0,0
2016-11-03,346.5,348.75,345.0,348.25,0,0,0,0
2016-11-04,347.75,349.75,345.5,348.0,0,0,0,0
2016-11-07,348.0,349.5,345.0,346.5,0,0,0,0
2016-11-08,346.0,356.5,345.0,353.5,0,0,0,0
2016-11-09,353.5,355.0,340.5,341.25,0,0,0,0
2016-11-10,341.25,346.5,340.25,342.25,0,0,0,0
2016-11-11,342.25,345.0,339.0,340.75,0,0,0,0
2016-11-14,340.75,341.0,335.5,337.0,0,0,0,0
2016-11-15,336.75,342.25,335.75,342.0,0,0,0,0
2016-11-16,349.0,351.25,346.25,347.5,0,0,0,0
2016-11-17,347.5,351.0,345.75,350.0,0,0,0,0
2016-11-18,350.0,354.25,348.25,353.75,0,0,0,0
2016-11-21,353.75,358.0,352.75,357.75,0,0,0,0
2016-11-22,357.75,359.5,354.0,358.75,0,0,0,0
2016-11-23,358.75,359.5,354.25,359.0,0,0,0,0
2016-11-24,359.0,359.0,359.0,359.0,0,0,0,0
2016-11-25,359.0,359.25,357.25,358.0,0,0,0,0
2016-11-28,358.0,362.5,355.75,358.0,0,0,0,0
2016-11-29,358.0,358.0,348.0,348.0,0,0,0,0
2016-11-30,349.0,353.0,347.75,348.5,0,0,0,0
2016-12-01,349.0,349.75,341.75,343.25,0,0,0,0
2016-12-02,343.25,347.75,343.0,347.0,0,0,0,0
2016-12-05,347.0,359.75,347.0,358.25,0,0,0,0
2016-12-06,358.0,364.0,357.5,359.0,0,0,0,0
2016-12-07,359.0,360.5,356.0,358.25,0,0,0,0
2016-12-08,358.25,360.0,350.25,354.25,0,0,0,0
2016-12-09,354.25,359.75,351.25,358.75,0,0,0,0
2016-12-12,358.75,361.0,356.0,360.0,0,0,0,0
2016-12-13,360.0,364.75,359.25,361.5,0,0,0,0
2016-12-14,361.5,362.0,358.25,361.75,0,0,0,0
2016-12-15,361.5,363.0,356.25,356.25,0,0,0,0
2016-12-16,356.25,359.0,353.5,357.25,0,0,0,0
2016-12-19,357.25,357.25,351.5,353.75,0,0,0,0
2016-12-20,353.75,353.75,349.25,350.25,0,0,0,0
2016-12-21,350.0,351.25,346.75,347.5,0,0,0,0
2016-12-22,347.25,348.0,346.0,347.5,0,0,0,0
2016-12-23,347.0,347.75,345.5,345.75,0,0,0,0
2016-12-26,345.75,345.75,345.75,345.75,0,0,0,0
2016-12-27,345.75,356.0,345.75,355.0,0,0,0,0
2016-12-28,355.0,355.0,347.25,348.5,0,0,0,0
2016-12-29,348.25,351.0,347.5,349.75,0,0,0,0
2016-12-30,349.5,353.0,347.75,351.0,0,0,0,0
2017-01-02,351.0,351.0,351.0,351.0,0,0,0,0
2017-01-03,351.0,358.5,351.0,355.75,0,0,0,0
2017-01-04,355.75,360.0,354.75,360.0,0,0,0,0
2017-01-05,360.0,362.75,358.5,361.25,0,0,0,0
2017-01-06,361.25,362.5,356.75,358.75,0,0,0,0
2017-01-09,358.75,360.75,355.25,359.5,0,0,0,0
2017-01-10,359.5,359.5,357.25,357.5,0,0,0,0
2017-01-11,357.5,358.25,352.0,357.0,0,0,0,0
2017-01-12,357.0,360.0,353.0,358.0,0,0,0,0
2017-01-13,358.0,359.5,355.25,358.75,0,0,0,0
2017-01-16,358.75,358.75,358.75,358.75,0,0,0,0
2017-01-17,358.75,366.5,358.5,365.25,0,0,0,0
2017-01-18,365.25,367.75,362.75,364.25,0,0,0,0
2017-01-19,364.25,367.5,362.75,366.5,0,0,0,0
2017-01-20,366.5,370.0,365.0,370.0,0,0,0,0
2017-01-23,370.0,370.0,367.5,369.75,0,0,0,0
2017-01-24,369.75,371.0,362.25,363.5,0,0,0,0
2017-01-25,363.5,366.75,361.0,366.0,0,0,0,0
2017-01-26,366.0,366.75,362.0,363.75,0,0,0,0
2017-01-27,363.75,364.25,360.5,363.0,0,0,0,0
2017-01-30,363.0,363.0,355.75,358.25,0,0,0,0
2017-01-31,358.25,361.25,357.75,359.5,0,0,0,0
2017-02-01,359.5,368.5,358.0,367.5,0,0,0,0
2017-02-02,367.5,369.75,366.25,366.75,0,0,0,0
2017-02-03,366.75,367.75,364.0,364.5,0,0,0,0
2017-02-06,364.5,368.75,362.5,363.75,0,0,0,0
2017-02-07,363.75,369.0,362.5,368.75,0,0,0,0
2017-02-08,368.0,371.0,366.5,369.75,0,0,0,0
2017-02-09,369.75,372.75,367.5,368.75,0,0,0,0
2017-02-10,368.75,375.5,368.5,373.75,0,0,0,0
2017-02-13,373.75,376.75,371.75,375.25,0,0,0,0
2017-02-14,375.25,375.25,373.0,374.25,0,0,0,0
2017-02-15,374.0,379.0,371.75,378.75,0,0,0,0
2017-02-16,385.75,387.25,380.25,380.5,0,0,0,0
2017-02-17,380.5,380.75,375.25,375.75,0,0,0,0
2017-02-20,375.75,375.75,375.75,375.75,0,0,0,0
2017-02-21,375.75,377.75,373.5,376.5,0,0,0,0
2017-02-22,376.5,379.75,376.25,377.75,0,0,0,0
2017-02-23,377.75,379.0,372.25,372.5,0,0,0,0
2017-02-24,372.5,373.5,369.25,371.5,0,0,0,0
2017-02-27,371.5,372.5,367.25,369.25,0,0,0,0
2017-02-28,369.25,386.25,368.5,373.0,0,0,0,0
2017-03-01,373.0,382.25,372.25,382.0,0,0,0,0
2017-03-02,382.0,382.25,376.75,378.5,0,0,0,0
2017-03-03,378.5,381.75,377.5,380.75,0,0,0,0
2017-03-06,380.75,383.0,376.5,378.5,0,0,0,0
2017-03-07,378.5,379.75,373.25,376.0,0,0,0,0
2017-03-08,376.0,376.5,371.75,372.75,0,0,0,0
2017-03-09,372.75,374.0,366.0,367.0,0,0,0,0
2017-03-10,367.0,367.75,362.5,364.75,0,0,0,0
2017-03-13,364.0,365.0,360.5,360.75,0,0,0,0
2017-03-14,361.25,364.5,360.0,362.25,0,0,0,0
2017-03-15,362.5,364.75,362.0,363.5,0,0,0,0
2017-03-16,364.0,367.0,363.75,366.25,0,0,0,0
2017-03-17,366.25,367.75,364.5,367.75,0,0,0,0
2017-03-20,369.0,370.75,363.0,363.25,0,0,0,0
2017-03-21,363.25,364.0,359.25,361.25,0,0,0,0
2017-03-22,361.25,361.75,358.25,358.25,0,0,0,0
2017-03-23,358.5,359.75,356.25,356.5,0,0,0,0
2017-03-24,357.0,358.0,355.25,355.75,0,0,0,0
