date,station,lat,lon,temp_C,precip_mm
20100401,哈尔滨,45.75,126.63,-0.37,0.66
20100402,哈尔滨,45.75,126.63,-1.07,0.06
20100403,哈尔滨,45.75,126.63,-0.82,0.0
20100404,哈尔滨,45.75,126.63,0.47,0.59
20100405,哈尔滨,45.75,126.63,-0.54,0.04
20100406,哈尔滨,45.75,126.63,-0.13,0.0
20100407,哈尔滨,45.75,126.63,3.51,0.0
20100408,哈尔滨,45.75,126.63,6.01,1.45
20100409,哈尔滨,45.75,126.63,1.11,0.0
20100410,哈尔滨,45.75,126.63,-0.24,0.0
20100411,哈尔滨,45.75,126.63,-0.81,0.0
20100412,哈尔滨,45.75,126.63,-0.75,8.79
20100413,哈尔滨,45.75,126.63,-2.55,10.53
20100414,哈尔滨,45.75,126.63,-4.17,0.0
20100415,哈尔滨,45.75,126.63,-2.43,0.0
20100416,哈尔滨,45.75,126.63,0.7,0.0
20100417,哈尔滨,45.75,126.63,2.07,0.0
20100418,哈尔滨,45.75,126.63,3.65,0.12
20100419,哈尔滨,45.75,126.63,4.47,0.76
20100420,哈尔滨,45.75,126.63,4.8,0.11
20100421,哈尔滨,45.75,126.63,4.16,0.33
20100422,哈尔滨,45.75,126.63,4.32,0.01
20100423,哈尔滨,45.75,126.63,6.64,0.0
20100424,哈尔滨,45.75,126.63,9.59,0.0
20100425,哈尔滨,45.75,126.63,11.16,0.0
20100426,哈尔滨,45.75,126.63,8.94,3.05
20100427,哈尔滨,45.75,126.63,3.56,4.89
20100428,哈尔滨,45.75,126.63,4.51,2.29
20100429,哈尔滨,45.75,126.63,5.86,2.03
20100430,哈尔滨,45.75,126.63,7.69,0.55
20100501,哈尔滨,45.75,126.63,11.71,0.0
20100502,哈尔滨,45.75,126.63,12.43,0.04
20100503,哈尔滨,45.75,126.63,10.73,0.0
20100504,哈尔滨,45.75,126.63,11.86,0.05
20100505,哈尔滨,45.75,126.63,9.81,34.68
20100506,哈尔滨,45.75,126.63,8.33,32.28
20100507,哈尔滨,45.75,126.63,7.92,0.81
20100508,哈尔滨,45.75,126.63,9.22,0.0
20100509,哈尔滨,45.75,126.63,8.82,0.09
20100510,哈尔滨,45.75,126.63,7.43,12.33
20100511,哈尔滨,45.75,126.63,8.78,0.25
20100512,哈尔滨,45.75,126.63,9.94,0.24
20100513,哈尔滨,45.75,126.63,12.62,0.0
20100514,哈尔滨,45.75,126.63,15.71,0.0
20100515,哈尔滨,45.75,126.63,15.33,4.87
20100516,哈尔滨,45.75,126.63,16.88,0.0
20100517,哈尔滨,45.75,126.63,15.99,2.34
20100518,哈尔滨,45.75,126.63,16.61,9.19
20100519,哈尔滨,45.75,126.63,15.98,9.45
20100520,哈尔滨,45.75,126.63,15.3,2.87
20100521,哈尔滨,45.75,126.63,19.41,0.0
20100522,哈尔滨,45.75,126.63,21.32,0.0
20100523,哈尔滨,45.75,126.63,21.78,0.01
20100524,哈尔滨,45.75,126.63,18.41,1.4
20100525,哈尔滨,45.75,126.63,18.16,0.37
20100526,哈尔滨,45.75,126.63,18.38,0.04
20100527,哈尔滨,45.75,126.63,20.39,0.0
20100528,哈尔滨,45.75,126.63,17.94,10.75
20100529,哈尔滨,45.75,126.63,16.91,1.96
20100530,哈尔滨,45.75,126.63,18.36,0.29
20100531,哈尔滨,45.75,126.63,19.57,0.08
20100601,哈尔滨,45.75,126.63,20.24,0.17
20100602,哈尔滨,45.75,126.63,21.79,0.75
20100603,哈尔滨,45.75,126.63,23.48,0.65
20100604,哈尔滨,45.75,126.63,23.68,0.2
20100605,哈尔滨,45.75,126.63,22.98,0.0
20100606,哈尔滨,45.75,126.63,19.46,1.7
20100607,哈尔滨,45.75,126.63,24.07,0.0
20100608,哈尔滨,45.75,126.63,25.15,0.0
20100609,哈尔滨,45.75,126.63,26.0,0.0
20100610,哈尔滨,45.75,126.63,28.05,0.0
20100611,哈尔滨,45.75,126.63,26.56,0.5
20100612,哈尔滨,45.75,126.63,21.53,4.61
20100613,哈尔滨,45.75,126.63,23.28,0.05
20100614,哈尔滨,45.75,126.63,23.55,0.53
20100615,哈尔滨,45.75,126.63,22.46,5.67
20100616,哈尔滨,45.75,126.63,22.1,9.41
20100617,哈尔滨,45.75,126.63,24.88,0.02
20100618,哈尔滨,45.75,126.63,22.66,1.82
20100619,哈尔滨,45.75,126.63,22.57,1.5
20100620,哈尔滨,45.75,126.63,19.22,1.16
20100621,哈尔滨,45.75,126.63,14.89,8.71
20100622,哈尔滨,45.75,126.63,18.72,0.04
20100623,哈尔滨,45.75,126.63,24.0,0.0
20100624,哈尔滨,45.75,126.63,26.96,0.0
20100625,哈尔滨,45.75,126.63,28.49,0.0
20100626,哈尔滨,45.75,126.63,29.93,0.0
20100627,哈尔滨,45.75,126.63,27.98,0.07
20100628,哈尔滨,45.75,126.63,22.76,13.75
20100629,哈尔滨,45.75,126.63,24.97,7.25
20100630,哈尔滨,45.75,126.63,25.35,2.98
20100701,哈尔滨,45.75,126.63,25.82,3.21
20100702,哈尔滨,45.75,126.63,24.25,18.31
20100703,哈尔滨,45.75,126.63,25.28,0.75
20100704,哈尔滨,45.75,126.63,24.09,10.09
20100705,哈尔滨,45.75,126.63,21.48,16.35
20100706,哈尔滨,45.75,126.63,20.07,0.51
20100707,哈尔滨,45.75,126.63,18.99,0.2
20100708,哈尔滨,45.75,126.63,19.12,5.34
20100709,哈尔滨,45.75,126.63,19.95,1.7
20100710,哈尔滨,45.75,126.63,21.81,0.75
20100711,哈尔滨,45.75,126.63,20.95,2.52
20100712,哈尔滨,45.75,126.63,23.64,0.22
20100713,哈尔滨,45.75,126.63,23.24,0.53
20100714,哈尔滨,45.75,126.63,24.48,0.72
20100715,哈尔滨,45.75,126.63,25.3,2.13
20100716,哈尔滨,45.75,126.63,23.63,8.44
20100717,哈尔滨,45.75,126.63,24.74,2.6
20100718,哈尔滨,45.75,126.63,24.01,14.52
20100719,哈尔滨,45.75,126.63,24.23,5.84
20100720,哈尔滨,45.75,126.63,22.15,25.44
20100721,哈尔滨,45.75,126.63,22.95,10.95
20100722,哈尔滨,45.75,126.63,24.0,11.12
20100723,哈尔滨,45.75,126.63,24.08,3.44
20100724,哈尔滨,45.75,126.63,23.74,0.2
20100725,哈尔滨,45.75,126.63,24.78,1.07
20100726,哈尔滨,45.75,126.63,23.19,6.15
20100727,哈尔滨,45.75,126.63,21.2,0.01
20100728,哈尔滨,45.75,126.63,20.2,0.03
20100729,哈尔滨,45.75,126.63,22.24,0.04
20100730,哈尔滨,45.75,126.63,23.2,0.28
20100731,哈尔滨,45.75,126.63,21.53,1.14
20100801,哈尔滨,45.75,126.63,20.28,0.0
20100802,哈尔滨,45.75,126.63,22.63,0.0
20100803,哈尔滨,45.75,126.63,23.27,0.03
20100804,哈尔滨,45.75,126.63,23.05,6.72
20100805,哈尔滨,45.75,126.63,21.9,16.52
20100806,哈尔滨,45.75,126.63,21.03,0.14
20100807,哈尔滨,45.75,126.63,21.13,0.0
20100808,哈尔滨,45.75,126.63,18.73,1.86
20100809,哈尔滨,45.75,126.63,20.64,11.57
20100810,哈尔滨,45.75,126.63,19.34,0.4
20100811,哈尔滨,45.75,126.63,21.47,0.65
20100812,哈尔滨,45.75,126.63,22.01,1.47
20100813,哈尔滨,45.75,126.63,21.38,0.0
20100814,哈尔滨,45.75,126.63,22.14,23.11
20100815,哈尔滨,45.75,126.63,20.34,1.81
20100816,哈尔滨,45.75,126.63,20.17,0.0
20100817,哈尔滨,45.75,126.63,22.22,0.01
20100818,哈尔滨,45.75,126.63,23.71,0.14
20100819,哈尔滨,45.75,126.63,22.86,6.06
20100820,哈尔滨,45.75,126.63,22.94,0.23
20100821,哈尔滨,45.75,126.63,20.81,0.05
20100822,哈尔滨,45.75,126.63,19.17,0.56
20100823,哈尔滨,45.75,126.63,19.55,3.49
20100824,哈尔滨,45.75,126.63,19.19,0.28
20100825,哈尔滨,45.75,126.63,20.83,0.0
20100826,哈尔滨,45.75,126.63,22.59,0.0
20100827,哈尔滨,45.75,126.63,20.65,4.57
20100828,哈尔滨,45.75,126.63,22.36,6.45
20100829,哈尔滨,45.75,126.63,20.92,3.96
20100830,哈尔滨,45.75,126.63,18.93,1.95
20100831,哈尔滨,45.75,126.63,16.73,0.34
20100901,哈尔滨,45.75,126.63,19.02,0.0
20100902,哈尔滨,45.75,126.63,20.03,0.0
20100903,哈尔滨,45.75,126.63,20.52,0.0
20100904,哈尔滨,45.75,126.63,21.81,0.0
20100905,哈尔滨,45.75,126.63,21.67,0.56
20100906,哈尔滨,45.75,126.63,20.09,0.49
20100907,哈尔滨,45.75,126.63,13.95,0.02
20100908,哈尔滨,45.75,126.63,15.27,0.0
20100909,哈尔滨,45.75,126.63,18.1,0.0
20100910,哈尔滨,45.75,126.63,20.3,0.02
20100911,哈尔滨,45.75,126.63,21.37,0.0
20100912,哈尔滨,45.75,126.63,21.28,0.0
20100913,哈尔滨,45.75,126.63,21.62,0.0
20100914,哈尔滨,45.75,126.63,22.33,0.0
20100915,哈尔滨,45.75,126.63,22.8,0.0
20100916,哈尔滨,45.75,126.63,14.81,0.0
20100917,哈尔滨,45.75,126.63,12.78,0.0
20100918,哈尔滨,45.75,126.63,14.35,0.0
20100919,哈尔滨,45.75,126.63,15.18,0.0
20100920,哈尔滨,45.75,126.63,15.32,1.33
20100921,哈尔滨,45.75,126.63,11.62,0.0
20100922,哈尔滨,45.75,126.63,7.1,0.0
20100923,哈尔滨,45.75,126.63,6.62,0.0
20100924,哈尔滨,45.75,126.63,11.23,0.03
20100925,哈尔滨,45.75,126.63,13.07,2.22
20100926,哈尔滨,45.75,126.63,13.19,2.28
20100927,哈尔滨,45.75,126.63,8.7,5.36
20100928,哈尔滨,45.75,126.63,7.27,0.6
20100929,哈尔滨,45.75,126.63,8.91,0.0
20100930,哈尔滨,45.75,126.63,9.37,0.0
20101001,哈尔滨,45.75,126.63,6.21,0.07
20101002,哈尔滨,45.75,126.63,7.76,1.96
20101003,哈尔滨,45.75,126.63,8.83,1.99
20101004,哈尔滨,45.75,126.63,8.09,0.44
20101005,哈尔滨,45.75,126.63,8.47,0.0
20101006,哈尔滨,45.75,126.63,13.29,0.0
20101007,哈尔滨,45.75,126.63,15.71,0.02
20101008,哈尔滨,45.75,126.63,16.03,0.01
20101009,哈尔滨,45.75,126.63,14.84,0.02
20101010,哈尔滨,45.75,126.63,10.38,0.01
20101011,哈尔滨,45.75,126.63,3.83,6.49
20101012,哈尔滨,45.75,126.63,5.53,0.0
20101013,哈尔滨,45.75,126.63,7.47,0.0
20101014,哈尔滨,45.75,126.63,4.05,1.6
20101015,哈尔滨,45.75,126.63,1.5,0.95
20101016,哈尔滨,45.75,126.63,-0.2,2.67
20101017,哈尔滨,45.75,126.63,-2.32,0.0
20101018,哈尔滨,45.75,126.63,0.09,0.0
20101019,哈尔滨,45.75,126.63,1.37,0.0
20101020,哈尔滨,45.75,126.63,1.74,0.0
20101021,哈尔滨,45.75,126.63,1.77,0.0
20101022,哈尔滨,45.75,126.63,5.54,0.01
20101023,哈尔滨,45.75,126.63,6.27,0.66
20101024,哈尔滨,45.75,126.63,-0.31,0.09
20101025,哈尔滨,45.75,126.63,-2.58,0.09
20101026,哈尔滨,45.75,126.63,-3.13,0.0
20101027,哈尔滨,45.75,126.63,-0.61,0.0
20101028,哈尔滨,45.75,126.63,0.17,0.0
20101029,哈尔滨,45.75,126.63,1.54,0.01
20101030,哈尔滨,45.75,126.63,2.39,0.0
20101031,哈尔滨,45.75,126.63,2.57,0.01
20100401,长春,43.82,125.32,1.12,0.05
20100402,长春,43.82,125.32,-1.09,0.26
20100403,长春,43.82,125.32,1.2,0.0
20100404,长春,43.82,125.32,3.14,0.0
20100405,长春,43.82,125.32,0.54,0.1
20100406,长春,43.82,125.32,0.28,0.0
20100407,长春,43.82,125.32,4.14,0.0
20100408,长春,43.82,125.32,6.82,0.32
20100409,长春,43.82,125.32,2.07,1.37
20100410,长春,43.82,125.32,0.89,0.28
20100411,长春,43.82,125.32,0.05,0.02
