date,inventory,inv_change
2026-02-02,54881,
2026-02-03,54881,0.0
2026-02-04,53570,-1311.0
2026-02-05,53570,0.0
2026-02-06,60440,6870.0
2026-02-09,60440,0.0
2026-02-10,60440,0.0
2026-02-11,83570,23130.0
2026-02-12,88570,5000.0
2026-02-13,88570,0.0
2026-02-24,90070,1500.0
2026-02-25,92689,2619.0
2026-02-26,92689,0.0
2026-02-27,92689,0.0
2026-03-02,90399,-2290.0
2026-03-03,90399,0.0
2026-03-04,90399,0.0
2026-03-05,82252,-8147.0
2026-03-06,79152,-3100.0
2026-03-09,73844,-5308.0
2026-03-10,74613,769.0
2026-03-11,75123,510.0
2026-03-12,76073,950.0
2026-03-13,75172,-901.0
2026-03-16,78463,3291.0
2026-03-17,78333,-130.0
2026-03-18,78333,0.0
2026-03-19,78333,0.0
2026-03-20,69303,-9030.0
2026-03-23,69303,0.0
2026-03-24,69303,0.0
2026-03-25,67645,-1658.0
2026-03-26,65858,-1787.0
2026-03-27,59377,-6481.0
2026-03-30,58377,-1000.0
2026-03-31,0,-58377.0
2026-04-01,14990,14990.0
2026-04-02,14990,0.0
2026-04-03,14990,0.0
2026-04-07,14990,0.0
2026-04-08,14990,0.0
2026-04-09,14990,0.0
2026-04-10,16763,1773.0
2026-04-13,16763,0.0
2026-04-14,16763,0.0
2026-04-15,16773,10.0
2026-04-16,16773,0.0
2026-04-17,16773,0.0
2026-04-20,20373,3600.0
2026-04-21,20373,0.0
2026-04-22,20526,153.0
2026-04-23,24026,3500.0
2026-04-24,38976,14950.0
2026-04-27,38976,0.0
2026-04-28,41276,2300.0
2026-04-29,66055,24779.0
2026-04-30,66055,0.0
2026-05-06,79559,13504.0
2026-05-07,86583,7024.0
2026-05-08,87239,656.0
2026-05-11,87484,245.0
2026-05-12,87484,0.0
2026-05-13,82104,-5380.0
