report_date,market_year,global_production_mmt,global_consumption_mmt,global_ending_stocks_mmt,global_stocks_to_use,china_production_mmt,china_imports_mmt,china_ending_stocks_mmt,us_production_mmt,us_ending_stocks_mmt,us_farm_price_usd_bu,argentina_production_mmt,brazil_production_mmt,ukraine_production_mmt
2010-05-11,2010/11,832.2,844.4,122.3,14.5,177.2,1.0,49.4,316.2,23.3,3.90,22.5,51.0,11.9
2010-12-10,2010/11,820.0,846.8,126.1,14.9,177.5,1.5,51.0,316.2,21.2,5.20,22.0,51.0,11.9
2011-05-11,2011/12,867.5,870.0,123.6,14.2,191.8,2.0,55.2,343.0,22.8,6.00,25.0,55.0,16.0
2011-12-09,2011/12,867.7,871.8,121.5,13.9,192.9,4.0,58.2,313.9,21.5,6.10,25.0,57.0,18.5
2012-05-10,2012/13,946.6,881.6,188.5,21.4,205.6,3.0,60.0,376.0,47.8,5.60,25.0,70.0,22.0
2012-12-11,2012/13,845.7,869.8,116.0,13.3,205.6,2.0,60.0,273.8,16.4,7.00,21.0,70.0,20.9
2013-05-10,2013/14,961.6,943.3,134.3,14.2,218.5,7.0,67.0,353.7,47.8,4.70,26.0,72.0,26.0
2014-05-09,2014/15,980.5,971.0,172.5,17.8,215.6,3.0,77.0,361.1,46.0,3.85,24.0,75.0,27.0
2015-05-12,2015/16,990.6,974.8,188.2,19.3,224.6,3.0,90.0,345.5,43.2,3.60,26.0,79.0,25.0
2016-05-10,2016/17,1011.3,1016.4,212.3,20.9,219.6,3.0,101.0,384.8,50.3,3.40,28.0,83.0,27.0
2017-05-10,2017/18,1035.5,1055.6,194.7,18.4,215.9,4.0,95.0,370.3,52.7,3.35,39.0,95.0,26.0
2018-05-10,2018/19,1096.3,1099.4,307.1,27.9,257.3,7.0,195.0,366.3,55.3,3.60,41.0,101.0,30.0
2019-05-10,2019/20,1107.6,1099.0,289.0,26.3,260.8,7.0,200.0,347.8,48.6,3.80,50.0,101.0,35.0
2020-05-12,2020/21,1161.6,1136.0,271.2,23.9,260.7,24.0,198.0,381.5,38.2,4.35,47.0,109.0,30.0
2021-05-12,2021/22,1196.8,1183.9,291.8,24.7,272.6,23.0,209.0,383.9,33.9,5.70,53.0,116.0,40.0
2022-05-12,2022/23,1180.7,1203.2,309.5,25.7,277.2,18.0,206.0,348.8,34.3,6.60,49.0,126.0,25.0
2023-05-12,2023/24,1223.1,1204.5,319.3,26.5,288.8,23.0,211.0,389.7,51.6,4.80,55.0,129.0,29.5
2024-05-10,2024/25,1230.6,1245.1,293.1,23.5,294.9,17.0,210.0,377.3,52.9,4.24,50.0,136.0,26.8
2025-05-12,2025/26,1312.7,1292.8,297.0,23.0,301.2,6.0,178.2,432.3,54.4,4.15,59.0,135.0,30.9
2026-05-12,2026/27,1295.4,1306.5,277.5,21.2,307.0,6.0,164.4,406.3,49.7,4.40,55.0,139.0,30.0
